case,comparison,reference,candidate,psnr,ssim,mae,rmse
hq_calib_steps_30_00079,stego,D:\thesis\experiments\diffstega_outputs_hq\hq_calib_steps_30\00079.png,D:\thesis\experiments\diffstega_outputs_hq\hq_calib_steps_30\00079_hide_pw_2000.png,20.5685,0.941586,15.7398,23.8844
hq_calib_steps_30_00079,correct recover,D:\thesis\experiments\diffstega_outputs_hq\hq_calib_steps_30\00079.png,D:\thesis\experiments\diffstega_outputs_hq\hq_calib_steps_30\00079_rec_w_2000.png,24.8765,0.979801,9.6924,14.5451
hq_calib_steps_30_00079,wrong recover,D:\thesis\experiments\diffstega_outputs_hq\hq_calib_steps_30\00079.png,D:\thesis\experiments\diffstega_outputs_hq\hq_calib_steps_30\00079_rec_wo_2000.png,21.2330,0.950981,14.8019,22.1253
hq_calib_steps_50_00079,stego,D:\thesis\experiments\diffstega_outputs_hq\hq_calib_steps_50\00079.png,D:\thesis\experiments\diffstega_outputs_hq\hq_calib_steps_50\00079_hide_pw_2000.png,20.4028,0.941762,16.1552,24.3446
hq_calib_steps_50_00079,correct recover,D:\thesis\experiments\diffstega_outputs_hq\hq_calib_steps_50\00079.png,D:\thesis\experiments\diffstega_outputs_hq\hq_calib_steps_50\00079_rec_w_2000.png,24.2906,0.976812,10.1338,15.5600
hq_calib_steps_50_00079,wrong recover,D:\thesis\experiments\diffstega_outputs_hq\hq_calib_steps_50\00079.png,D:\thesis\experiments\diffstega_outputs_hq\hq_calib_steps_50\00079_rec_wo_2000.png,20.9087,0.948745,15.2296,22.9672
hq_core_content_boar_000000132622,stego,D:\thesis\experiments\diffstega_outputs_hq\hq_core_content_boar\000000132622.png,D:\thesis\experiments\diffstega_outputs_hq\hq_core_content_boar\000000132622_hide_pw_1000.png,20.0658,0.901997,17.5047,25.3077
hq_core_content_boar_000000132622,correct recover,D:\thesis\experiments\diffstega_outputs_hq\hq_core_content_boar\000000132622.png,D:\thesis\experiments\diffstega_outputs_hq\hq_core_content_boar\000000132622_rec_w_1000.png,22.1197,0.943597,12.7325,19.9781
hq_core_content_boar_000000132622,wrong recover,D:\thesis\experiments\diffstega_outputs_hq\hq_core_content_boar\000000132622.png,D:\thesis\experiments\diffstega_outputs_hq\hq_core_content_boar\000000132622_rec_wo_1000.png,19.8286,0.900151,18.2139,26.0081
hq_core_similar_face_00079,stego,D:\thesis\experiments\diffstega_outputs_hq\hq_core_similar_face\00079.png,D:\thesis\experiments\diffstega_outputs_hq\hq_core_similar_face\00079_hide_pw_2000.png,20.5685,0.941586,15.7398,23.8844
hq_core_similar_face_00079,correct recover,D:\thesis\experiments\diffstega_outputs_hq\hq_core_similar_face\00079.png,D:\thesis\experiments\diffstega_outputs_hq\hq_core_similar_face\00079_rec_w_2000.png,24.8765,0.979801,9.6924,14.5451
