case,family,value,stego_ssim,correct_ssim,wrong_ssim,key_security_gap,edge_leakage,semantic_leakage,three_objective_score
hq_core_content_boar_000000132622,core,content_boar,0.901997,0.943597,0.900151,0.043447,0.403401,0.702559,0.741149
hq_core_similar_face_00079,core,similar_face,0.941586,0.979801,0.950981,0.028820,0.396167,0.723419,0.755425
hq_core_style_dog_flickr_dog_000054,core,style_dog_flickr_dog,0.867138,0.966017,0.914500,0.051517,0.358355,0.663625,0.785265
hq_param_es_050_00079,edit_strength,0.50,0.955204,0.983472,0.957188,0.026283,0.409734,0.737016,0.751799
hq_param_es_060_00079,edit_strength,0.60,0.941586,0.979801,0.950981,0.028820,0.396167,0.723419,0.755425
hq_param_es_070_00079,edit_strength,0.70,0.923556,0.975416,0.946509,0.028908,0.373437,0.703508,0.758096
hq_param_nf_003_00079,noise_flip_scale,0.03,0.956050,0.982912,0.963759,0.019153,0.395349,0.731770,0.745945
hq_param_nf_005_00079,noise_flip_scale,0.05,0.941586,0.979801,0.950981,0.028820,0.396167,0.723419,0.755425
hq_param_nf_008_00079,noise_flip_scale,0.08,0.931315,0.983647,0.944140,0.039507,0.363468,0.704176,0.776692
hq_prompt_similar_00079,prompt,similar,0.941586,0.979801,0.950981,0.028820,0.396167,0.723419,0.755425
hq_prompt_style_00079,prompt,style,0.942491,0.978888,0.943559,0.035328,0.381493,0.718091,0.762884
hq_prompt_unrelated_00079,prompt,unrelated,0.925799,0.979477,0.929714,0.049763,0.375548,0.705699,0.782245
hq_prompt_weak_00079,prompt,weak,0.939891,0.981367,0.941524,0.039844,0.394929,0.721906,0.768544
hq_calib_steps_30_00079,steps,30,0.941586,0.979801,0.950981,0.028820,0.396167,0.723419,0.755425
hq_calib_steps_50_00079,steps,50,0.941762,0.976812,0.948745,0.028068,0.396178,0.723528,0.751645
hq_ext_sk_astronaut_sk_astronaut,extended_sample,astronaut_sk,0.911277,0.953115,0.886523,0.066592,0.443424,0.724136,0.766259
hq_ext_sk_camera_sk_camera,extended_sample,camera_sk,0.935432,0.966508,0.932698,0.033811,0.399965,0.721245,0.747883
hq_ext_sk_cat_sk_cat,extended_sample,cat_sk,0.742639,0.939071,0.714260,0.224811,0.538119,0.660831,0.932591
hq_ext_sk_coffee_sk_coffee,extended_sample,coffee_sk,0.955141,0.975319,0.954684,0.020636,0.495998,0.771483,0.725936
hq_ext_sk_horse_sk_horse,extended_sample,horse_sk,0.984998,0.984385,0.983785,0.000600,0.634873,0.844948,0.689253
hq_ext_sk_hubble_sk_hubble,extended_sample,hubble_sk,0.715960,0.672828,0.700002,-0.027175,0.394282,0.587289,0.440102
hq_ext_sk_retina_sk_retina,extended_sample,retina_sk,0.973000,0.950300,0.969131,-0.018831,0.543059,0.801023,0.651111
hq_ext_sk_rocket_sk_rocket,extended_sample,rocket_sk,0.904415,0.926779,0.881848,0.044931,0.460888,0.727004,0.717260
hq_ext_pw_boar_4001_000000132622,key_robustness,boar_4001,0.898452,0.943634,0.893887,0.049747,0.413344,0.704409,0.746838
hq_ext_pw_boar_4002_000000132622,key_robustness,boar_4002,0.898183,0.941811,0.893502,0.048309,0.412596,0.703948,0.743738
hq_ext_pw_dog_5001_flickr_dog_000054,key_robustness,dog_5001,0.869962,0.964333,0.878033,0.086301,0.362634,0.667031,0.817173
hq_ext_pw_dog_5002_flickr_dog_000054,key_robustness,dog_5002,0.872494,0.957381,0.885593,0.071788,0.352898,0.664655,0.796540
hq_ext_pw_face_3001_00079,key_robustness,face_3001,0.951390,0.982023,0.947945,0.034079,0.413398,0.736193,0.758434
hq_ext_pw_face_3002_00079,key_robustness,face_3002,0.933679,0.981819,0.945291,0.036528,0.385906,0.714570,0.768248
