leakage_penalty,rank,family,value,case,correct_ssim,key_security_gap,semantic_leakage,score
0.25,1,prompt,unrelated,hq_prompt_unrelated_00079,0.979477,0.049763,0.705699,0.852815
0.25,2,core,style_dog_flickr_dog,hq_core_style_dog_flickr_dog_000054,0.966017,0.051517,0.663625,0.851628
0.25,3,noise_flip_scale,0.08,hq_param_nf_008_00079,0.983647,0.039507,0.704176,0.847110
0.25,4,prompt,weak,hq_prompt_weak_00079,0.981367,0.039844,0.721906,0.840735
0.25,5,prompt,style,hq_prompt_style_00079,0.978888,0.035328,0.718091,0.834693
0.25,6,edit_strength,0.70,hq_param_es_070_00079,0.975416,0.028908,0.703508,0.828447
0.25,7,core,similar_face,hq_core_similar_face_00079,0.979801,0.028820,0.723419,0.827766
0.25,8,edit_strength,0.60,hq_param_es_060_00079,0.979801,0.028820,0.723419,0.827766
0.25,9,noise_flip_scale,0.05,hq_param_nf_005_00079,0.979801,0.028820,0.723419,0.827766
0.25,10,prompt,similar,hq_prompt_similar_00079,0.979801,0.028820,0.723419,0.827766
0.25,11,steps,30,hq_calib_steps_30_00079,0.979801,0.028820,0.723419,0.827766
0.25,12,edit_strength,0.50,hq_param_es_050_00079,0.983472,0.026283,0.737016,0.825501
0.25,13,steps,50,hq_calib_steps_50_00079,0.976812,0.028068,0.723528,0.823998
0.25,14,noise_flip_scale,0.03,hq_param_nf_003_00079,0.982912,0.019153,0.731770,0.819122
0.25,15,core,content_boar,hq_core_content_boar_000000132622,0.943597,0.043447,0.702559,0.811404
0.35,1,core,style_dog_flickr_dog,hq_core_style_dog_flickr_dog_000054,0.966017,0.051517,0.663625,0.785265
0.35,2,prompt,unrelated,hq_prompt_unrelated_00079,0.979477,0.049763,0.705699,0.782245
0.35,3,noise_flip_scale,0.08,hq_param_nf_008_00079,0.983647,0.039507,0.704176,0.776692
0.35,4,prompt,weak,hq_prompt_weak_00079,0.981367,0.039844,0.721906,0.768544
0.35,5,prompt,style,hq_prompt_style_00079,0.978888,0.035328,0.718091,0.762884
0.35,6,edit_strength,0.70,hq_param_es_070_00079,0.975416,0.028908,0.703508,0.758096
0.35,7,core,similar_face,hq_core_similar_face_00079,0.979801,0.028820,0.723419,0.755424
0.35,8,edit_strength,0.60,hq_param_es_060_00079,0.979801,0.028820,0.723419,0.755424
0.35,9,noise_flip_scale,0.05,hq_param_nf_005_00079,0.979801,0.028820,0.723419,0.755424
0.35,10,prompt,similar,hq_prompt_similar_00079,0.979801,0.028820,0.723419,0.755424
0.35,11,steps,30,hq_calib_steps_30_00079,0.979801,0.028820,0.723419,0.755424
0.35,12,edit_strength,0.50,hq_param_es_050_00079,0.983472,0.026283,0.737016,0.751799
0.35,13,steps,50,hq_calib_steps_50_00079,0.976812,0.028068,0.723528,0.751645
0.35,14,noise_flip_scale,0.03,hq_param_nf_003_00079,0.982912,0.019153,0.731770,0.745945
0.35,15,core,content_boar,hq_core_content_boar_000000132622,0.943597,0.043447,0.702559,0.741148
0.45,1,core,style_dog_flickr_dog,hq_core_style_dog_flickr_dog_000054,0.966017,0.051517,0.663625,0.718903
0.45,2,prompt,unrelated,hq_prompt_unrelated_00079,0.979477,0.049763,0.705699,0.711675
0.45,3,noise_flip_scale,0.08,hq_param_nf_008_00079,0.983647,0.039507,0.704176,0.706275
0.45,4,prompt,weak,hq_prompt_weak_00079,0.981367,0.039844,0.721906,0.696353
0.45,5,prompt,style,hq_prompt_style_00079,0.978888,0.035328,0.718091,0.691075
0.45,6,edit_strength,0.70,hq_param_es_070_00079,0.975416,0.028908,0.703508,0.687745
0.45,7,core,similar_face,hq_core_similar_face_00079,0.979801,0.028820,0.723419,0.683082
0.45,8,edit_strength,0.60,hq_param_es_060_00079,0.979801,0.028820,0.723419,0.683082
0.45,9,noise_flip_scale,0.05,hq_param_nf_005_00079,0.979801,0.028820,0.723419,0.683082
0.45,10,prompt,similar,hq_prompt_similar_00079,0.979801,0.028820,0.723419,0.683082
0.45,11,steps,30,hq_calib_steps_30_00079,0.979801,0.028820,0.723419,0.683082
0.45,12,steps,50,hq_calib_steps_50_00079,0.976812,0.028068,0.723528,0.679292
0.45,13,edit_strength,0.50,hq_param_es_050_00079,0.983472,0.026283,0.737016,0.678098
0.45,14,noise_flip_scale,0.03,hq_param_nf_003_00079,0.982912,0.019153,0.731770,0.672768
0.45,15,core,content_boar,hq_core_content_boar_000000132622,0.943597,0.043447,0.702559,0.670892
