group,case,path,lsb_one_ratio,lsb_balance,lsb_entropy,chi_square_pair,lsb_flip_rate,residual_mean,residual_std,high_freq_energy,laplacian_variance,edge_density
lsb_cover,lsb_extra_city_triangle,D:\thesis\experiments\lsb_outputs\lsb_extra_city_triangle_cover.png,0.419295,0.080705,0.981124,1897.857624,0.053149,4.888236,12.813403,43.309830,20339.966797,0.046135
lsb_cover,lsb_extra_gradient_badge,D:\thesis\experiments\lsb_outputs\lsb_extra_gradient_badge_cover.png,0.518667,0.018667,0.998994,155.966457,0.094476,1.766775,7.088194,14.382629,3915.514893,0.016212
lsb_cover,lsb_extra_texture_grid,D:\thesis\experiments\lsb_outputs\lsb_extra_texture_grid_cover.png,0.517362,0.017362,0.999130,456.115951,0.464624,7.850136,9.668678,75.288368,8936.967773,0.255947
lsb_cover,lsb_extra_wave_spiral,D:\thesis\experiments\lsb_outputs\lsb_extra_wave_spiral_cover.png,0.493308,0.006692,0.999871,1258.539463,0.519101,3.024337,10.027420,26.686562,10944.791016,0.027027
lsb_cover,lsb_secret_on_landscape,D:\thesis\experiments\lsb_outputs\lsb_secret_on_landscape_cover.png,0.646589,0.146589,0.937078,8006.663814,0.031506,2.542135,8.827614,22.080048,7853.313477,0.026176
lsb_stego,lsb_extra_city_triangle,D:\thesis\experiments\lsb_outputs\lsb_extra_city_triangle_lsb_stego.png,0.548828,0.048828,0.993110,2282.245857,0.057894,4.884952,12.805811,43.289612,20314.992188,0.046135
lsb_stego,lsb_extra_gradient_badge,D:\thesis\experiments\lsb_outputs\lsb_extra_gradient_badge_lsb_stego.png,0.642209,0.142209,0.940834,167.255841,0.098589,1.764588,7.079576,14.390862,3906.227295,0.016273
lsb_stego,lsb_extra_texture_grid,D:\thesis\experiments\lsb_outputs\lsb_extra_texture_grid_lsb_stego.png,0.616318,0.116318,0.960601,455.433965,0.464355,7.843988,9.663109,75.261780,8933.473633,0.255836
lsb_stego,lsb_extra_wave_spiral,D:\thesis\experiments\lsb_outputs\lsb_extra_wave_spiral_lsb_stego.png,0.617120,0.117120,0.960051,1737.689835,0.447201,3.039931,10.020494,26.718254,10928.963867,0.026989
lsb_stego,lsb_secret_on_landscape,D:\thesis\experiments\lsb_outputs\lsb_secret_on_landscape_lsb_stego.png,0.785665,0.285665,0.749688,7342.672846,0.023631,2.552331,8.869403,22.181427,7929.828613,0.026329
diffstega_secret,hq_calib_steps_30,D:\thesis\experiments\diffstega_outputs_hq\hq_calib_steps_30\00079.png,0.505075,0.005075,0.999926,65.000871,0.459500,4.366682,7.406548,38.014252,4287.309570,0.118366
diffstega_stego,hq_calib_steps_30,D:\thesis\experiments\diffstega_outputs_hq\hq_calib_steps_30\00079_hide_pw_2000.png,0.501831,0.001831,0.999990,9.356288,0.497955,4.804393,7.796881,40.682755,4493.959961,0.140102
diffstega_secret,hq_calib_steps_50,D:\thesis\experiments\diffstega_outputs_hq\hq_calib_steps_50\00079.png,0.505075,0.005075,0.999926,65.000871,0.459500,4.366682,7.406548,38.014252,4287.309570,0.118366
diffstega_stego,hq_calib_steps_50,D:\thesis\experiments\diffstega_outputs_hq\hq_calib_steps_50\00079_hide_pw_2000.png,0.501729,0.001729,0.999991,7.534880,0.496600,4.729613,7.598673,39.413925,4113.436523,0.143253
diffstega_secret,hq_core_content_boar,D:\thesis\experiments\diffstega_outputs_hq\hq_core_content_boar\000000132622.png,0.500301,0.000301,1.000000,2.468794,0.498786,6.138597,10.640421,55.144745,9678.375000,0.152893
